time,position,x,y,z
0.0,0.0,0.02,0.8,0.02
0.0,1.0169491525423728,0.02,0.8,0.02
0.0,2.0338983050847457,0.02,0.8,0.02
0.0,3.0508474576271185,0.02,0.8,0.02
0.0,4.067796610169491,0.02,0.8,0.02
0.0,5.084745762711864,0.02,0.8,0.02
0.0,6.101694915254237,0.02,0.8,0.02
0.0,7.11864406779661,0.02,0.8,0.02
0.0,8.135593220338983,0.02,0.8,0.02
0.0,9.152542372881356,0.02,0.8,0.02
0.0,10.169491525423728,0.02,0.8,0.02
0.0,11.1864406779661,0.02,0.8,0.02
0.0,12.203389830508474,0.02,0.8,0.02
0.0,13.220338983050848,0.02,0.8,0.02
0.0,14.23728813559322,0.02,0.8,0.02
0.0,15.254237288135592,0.02,0.8,0.02
0.0,16.271186440677965,0.02,0.8,0.02
0.0,17.28813559322034,0.02,0.8,0.02
0.0,18.305084745762713,0.02,0.8,0.02
0.0,19.322033898305083,0.02,0.8,0.02
0.0,20.338983050847457,0.02,0.8,0.02
0.0,21.35593220338983,0.02,0.8,0.02
0.0,22.3728813559322,0.02,0.8,0.02
0.0,23.389830508474574,0.02,0.8,0.02
0.0,24.406779661016948,0.02,0.8,0.02
0.0,25.423728813559322,0.02,0.8,0.02
0.0,26.440677966101696,0.02,0.8,0.02
0.0,27.457627118644066,0.02,0.8,0.02
0.0,28.47457627118644,0.8,0.2,0.02
0.0,29.491525423728813,0.8,0.2,0.02
0.0,30.508474576271183,0.8,0.2,0.02
0.0,31.525423728813557,0.8,0.2,0.02
0.0,32.54237288135593,0.02,0.8,0.02
0.0,33.559322033898304,0.02,0.8,0.02
0.0,34.57627118644068,0.02,0.8,0.02
0.0,35.59322033898305,0.02,0.8,0.02
0.0,36.610169491525426,0.02,0.8,0.02
0.0,37.62711864406779,0.02,0.8,0.02
0.0,38.644067796610166,0.02,0.8,0.02
0.0,39.66101694915254,0.02,0.8,0.02
0.0,40.67796610169491,0.02,0.8,0.02
0.0,41.69491525423729,0.02,0.8,0.02
0.0,42.71186440677966,0.02,0.8,0.02
0.0,43.728813559322035,0.02,0.8,0.02
0.0,44.7457627118644,0.02,0.8,0.02
0.0,45.762711864406775,0.02,0.8,0.02
0.0,46.77966101694915,0.02,0.8,0.02
0.0,47.79661016949152,0.02,0.8,0.02
0.0,48.813559322033896,0.02,0.8,0.02
0.0,49.83050847457627,0.02,0.8,0.02
0.0,50.847457627118644,0.02,0.8,0.02
0.0,51.86440677966102,0.02,0.8,0.02
0.0,52.88135593220339,0.02,0.8,0.02
0.0,53.89830508474576,0.02,0.8,0.02
